name,ra,dec,objid,cModelAbsMag_r,logMass,age,metallicity,petroR50_r,petroR90_r
1237653618004983898,148.4528,57.17357,1237653618004983898,-20.14939,11.34233,7.134686,0.0077,2.992542,9.335771
1237653587406291284,118.6616,37.25341,1237653587406291284,-19.89083,10.9964,3.144591,0.0077,3.491968,10.69078
1237651505953833216,203.0701,1.223229,1237651505953833216,-20.33688,11.04215,2.307769,0.0077,3.07665,10.25908
1237651737906380966,184.4214,3.655846,1237651737906380966,-21.06102,11.46425,3.809607,0.03,8.40579,26.15461
1237651753999663332,155.6325,2.3608,1237651753999663332,-20.57147,11.24799,3.410037,0.03,3.645792,12.00661
1237651271892533471,144.9244,60.6911,1237651271892533471,-19.67549,10.95656,3.410037,0.0077,2.429434,7.902887
1237651539775651910,135.3225,58.27975,1237651539775651910,-20.69413,11.50451,8.227038,0.0077,6.591007,21.73676
1237653650772656314,26.92236,12.96958,1237653650772656314,-20.08553,11.01081,2.746209,0.03,5.067171,18.25312
1237648721756422300,154.4478,0.330294,1237648721756422300,-20.17419,11.23586,7.399749,0.0077,2.925904,9.47264
1237658916922261704,196.3801,53.90896,1237658916922261704,-20.95548,11.64656,7.799702,0.0077,4.734531,15.41236
1237658803108642889,172.4286,55.38047,1237658803108642889,-20.52368,11.24593,3.496192,0.03,3.787836,12.82584
1237659330848751701,240.2368,45.41766,1237659330848751701,-20.20308,11.15882,2.972781,0.0077,5.897802,18.20164
1237658802570789037,168.8495,54.44412,1237658802570789037,-21.80699,11.7571,2.831355,0.0077,13.96183,42.61137
1237655109450858601,180.9765,60.81857,1237655109450858601,-20.08874,11.08579,2.906923,0.0077,4.781797,15.67874
1237655499200856084,202.543,-2.105007,1237655499200856084,-20.7784,11.35428,2.906923,0.0077,4.539438,14.50947
1237655126629810320,207.3822,5.52738,1237655126629810320,-20.51374,11.26804,2.972781,0.0077,3.940726,12.22975
1237655126082650225,183.6647,5.467759,1237655126082650225,-21.42208,11.78609,6.525169,0.0077,7.89806,25.93205
1237654606409564368,183.2713,5.689677,1237654606409564368,-20.54255,11.20109,3.029366,0.03,3.00726,9.423594
1237663782600179741,30.57203,-1.127846,1237663782600179741,-20.79206,11.71918,13.11983,0.0077,9.166924,30.11637
1237653441374716001,351.6145,-9.860888,1237653441374716001,-20.79064,11.41474,2.831355,0.012,4.025056,13.04036
1237652933495030428,314.5098,-7.557648,1237652933495030428,-20.10929,11.02629,2.242026,0.03,2.899185,9.238667
1237651252053475553,249.3757,44.14449,1237651252053475553,-20.6377,11.18149,2.242026,0.0077,5.466674,17.80273
1237655470209433983,228.313,2.816908,1237655470209433983,-20.82075,11.63126,12.45481,0.0077,5.265279,14.43652
1237651250948866195,131.0877,51.40591,1237651250948866195,-20.86603,11.38241,2.906923,0.0077,6.875062,20.17374
1237678617430589483,29.07064,1.050817,1237678617430589483,-21.74383,11.95878,7.684477,0.0077,11.2158,35.67936
1237663463145537628,353.857,1.05908,1237663463145537628,-22.02214,11.89336,4.07476,0.03,8.51687,28.07963
1237657401336725620,119.6798,30.77378,1237657401336725620,-20.65627,11.34179,3.496192,0.0077,5.579522,17.29296
1237657401341509768,129.0465,38.53475,1237657401341509768,-20.55956,11.47789,6.469671,0.0077,10.03103,30.74664
1237656538049413184,335.8857,-9.077162,1237656538049413184,-21.01322,11.42694,2.36435,0.03,5.813772,19.00401
1237654952670134284,254.0879,39.27516,1237654952670134284,-21.01238,11.4893,3.029366,0.0077,7.549439,23.53964
1237651538188304604,240.3275,53.24303,1237651538188304604,-19.55165,11.16051,7.588516,0.019,4.997697,14.13378
1237651753484877875,206.1075,2.109896,1237651753484877875,-21.77499,11.97746,7.301458,0.0077,6.974943,23.24486
1237663278465155291,1.203922,0.9511432,1237663278465155291,-21.34052,11.57468,2.831355,0.0077,6.209808,19.3197
1237668568247370040,240.3063,-0.5865424,1237668568247370040,-19.16479,11.10123,9.408256,0.015,3.514602,10.4106
1237671140406067447,175.4369,-2.741305,1237671140406067447,-19.58661,10.88713,2.972781,0.0077,3.63977,11.87265
1237655503499559457,258.6773,31.83107,1237655503499559457,-19.67335,11.01412,5.971447,0.0077,2.146751,6.558152
1237651823244869869,212.8853,4.868846,1237651823244869869,-20.20554,11.12665,2.831355,0.0096,2.648775,7.500838
1237649921112211644,12.74761,15.88988,1237649921112211644,-20.73112,11.46344,5.306479,0.0077,4.797497,15.91814
1237656567585833257,336.7851,-0.7271557,1237656567585833257,-20.45077,11.31891,3.571928,0.0077,6.088709,17.26474
1237648703524897061,232.6387,-0.8093187,1237648703524897061,-21.14701,11.79026,10.34454,0.0077,5.198671,16.70265
1237674650460422277,168.2717,0.003071052,1237674650460422277,-20.56397,11.27485,2.906923,0.0077,7.262973,24.11212
1237657873257332874,146.5265,42.27571,1237657873257332874,-21.09378,11.50988,2.831355,0.0077,3.602616,11.3042
1237654881273905294,214.9642,5.061098,1237654881273905294,-21.23088,11.74422,6.821238,0.0077,6.729481,21.69675
1237656906346332190,339.979,-0.9886078,1237656906346332190,-20.15626,11.13304,2.906923,0.0096,8.785979,27.25087
1237648675069952782,246.0041,0.7909193,1237648675069952782,-20.66792,11.17727,2.479575,0.0077,6.790049,21.29697
1237655467524751493,227.4427,0.592786,1237655467524751493,-20.20813,11.50017,8.58833,0.0077,3.431544,9.828122
1237652599575412951,344.8555,-9.496979,1237652599575412951,-20.93012,11.32667,2.972781,0.03,5.58566,18.08901
1237652599038673046,345.0961,-9.883274,1237652599038673046,-20.06289,11.04621,3.410037,0.03,5.526822,16.69168
1237651754001498164,159.8311,2.321773,1237651754001498164,-20.41199,11.31859,5.306479,0.0077,3.817409,12.78209
1237659326552932533,209.7489,58.39997,1237659326552932533,-20.59403,11.40913,4.07476,0.0077,5.05326,18.14183
1237666300019277944,51.52571,-0.6157426,1237666300019277944,-20.4769,11.53312,6.231991,0.0077,8.664402,31.74502
1237659132213264539,230.1208,44.97095,1237659132213264539,-20.63132,11.50076,7.684477,0.0077,4.6227,15.66843
1237659119327969411,229.7743,45.03218,1237659119327969411,-20.40807,11.20417,2.831355,0.0077,4.538187,17.0261
1237659120933011530,213.8348,52.34589,1237659120933011530,-21.17753,11.64121,10.62654,0.0077,6.600937,21.77373
1237659150461501710,229.9915,51.31308,1237659150461501710,-20.92611,11.46888,3.410037,0.0077,5.876024,19.05342
1237658803109757073,176.8391,55.73018,1237658803109757073,-20.78444,11.56,7.799702,0.0077,8.505237,29.45526
1237658802035622026,175.6021,54.77417,1237658802035622026,-20.75187,11.32953,2.831355,0.0077,4.220927,14.61016
1237657591393353891,169.9471,54.81543,1237657591393353891,-19.82987,10.88999,2.36435,0.03,1.850569,4.725201
1237657590856417405,169.7626,54.44111,1237657590856417405,-20.502,11.22412,2.831355,0.0077,2.907215,9.229358
1237657590320136278,172.1749,54.17226,1237657590320136278,-21.04012,11.42775,2.831355,0.0077,7.402943,23.50429
1237659324959818183,253.5644,31.39748,1237659324959818183,-20.04848,10.8238,2.479575,0.0077,1.421891,4.262758
1237659324959818183,253.5644,31.39748,1237659324959818182,-20.04848,10.8238,2.479575,0.0077,1.421891,4.262758
1237658803104055325,155.3999,52.23402,1237658803104055325,-20.15309,11.32368,9.96152,0.0077,3.895705,12.72907
1237658300074098805,165.7397,7.60386,1237658300074098805,-20.75521,11.40555,3.410037,0.0077,4.530971,14.52785
1237658298999701650,164.3799,6.660472,1237658298999701650,-20.75069,11.48571,5.971447,0.0077,6.968813,23.89435
1237655474508857360,255.677,34.05999,1237655474508857360,-21.84058,12.45247,12.45481,0.03,12.51577,38.13004
1237652934036946983,326.0196,-8.459662,1237652934036946983,-20.44306,11.467,7.462993,0.0096,7.333785,17.50889
1237658312945107014,203.2105,59.51249,1237658312945107014,-19.37697,10.70294,2.36435,0.03,2.486236,6.630634
1237655108381573359,201.3188,59.07956,1237655108381573359,-20.69483,11.35506,3.313596,0.0077,3.82756,11.84369
1237655107303899175,183.3993,59.35304,1237655107303899175,-20.43943,11.28179,3.571928,0.0077,3.656121,11.75092
1237658311867039813,183.7027,59.90619,1237658311867039813,-21.1341,11.49007,2.831355,0.0077,9.365721,28.15114
1237655108374757529,170.6583,59.31537,1237655108374757529,-20.00966,11.03121,3.410037,0.03,3.203602,10.16353
1237658304355172403,170.1103,59.85307,1237658304355172403,-20.7727,11.28813,2.653092,0.0096,4.75553,15.34482
1237655107834871813,158.2454,56.74813,1237655107834871813,-20.81962,11.53624,5.024413,0.03,7.875101,25.11506
1237657772321406991,152.292,54.22554,1237657772321406991,-20.2769,11.13058,2.831355,0.0077,5.340313,18.7815
1237658192151969958,134.7715,37.55358,1237658192151969958,-19.81441,11.23787,12.45481,0.0077,1.78253,5.693936
1237658192148496702,127.1889,32.55722,1237658192148496702,-20.96615,11.48986,7.774511,0.0077,3.509646,8.214801
1237658192148496722,127.1524,32.60931,1237658192148496722,-20.5984,11.32767,2.167394,0.03,2.775366,8.973349
1237671958594912351,208.2153,-2.608481,1237671958594912351,-21.24023,11.6713,5.306479,0.0077,6.53011,22.2008
1237655126092939491,207.3206,5.087154,1237655126092939491,-21.1315,11.50981,3.626535,0.0077,5.569455,13.57525
1237655123940606085,196.2259,3.824465,1237655123940606085,-20.29003,11.02612,8.852211,0.019,5.37335,14.07354
1237671264424951957,192.9727,4.579802,1237671264424951957,-21.21049,11.80944,10.05981,0.0077,9.902517,32.60318
1237655126622273715,190.017,6.021414,1237655126622273715,-20.72059,11.16305,2.242026,0.03,6.269097,21.41879
1237655463240990938,223.3384,55.0389,1237655463240990938,-21.37312,11.54495,2.746209,0.0077,5.436829,17.21879
1237658607683239955,186.1782,61.47069,1237658607683239955,-21.32316,11.85309,7.562022,0.0077,8.145475,27.98647
1237658304349143100,146.6894,54.42694,1237658304349143100,-20.57429,11.16732,2.972781,0.03,5.774478,18.15273
1237655108359880795,124.4714,40.72639,1237655108359880795,-20.26982,11.24953,3.571928,0.0077,5.084742,15.44773
1237674290218991944,118.9537,34.1512,1237674290218991944,-19.85538,10.9445,2.746209,0.0077,3.01842,8.725358
1237652944248504367,358.6931,15.622,1237652944248504367,-19.45071,10.8461,2.746209,0.012,2.116627,6.602142
1237656243318948132,358.5293,15.96987,1237656243318948132,-20.82843,11.66132,6.962876,0.0077,6.025186,20.02264
1237656241168318484,351.1082,13.97228,1237656241168318484,-21.14,11.82585,7.399749,0.0077,8.840723,29.39246
1237656495108915413,348.7444,14.09005,1237656495108915413,-20.38506,11.10621,2.085784,0.03,5.700009,17.01357
1237656240626794746,340.3828,12.58057,1237656240626794746,-21.33638,11.81812,10.28796,0.0077,4.681093,14.14958
1237656495097184890,321.5995,10.77752,1237656495097184890,-20.5659,11.22513,2.167394,0.03,2.465027,7.493377
1237652942622425180,322.6918,10.62429,1237652942622425180,-20.70785,11.42024,3.410037,0.0077,4.023816,12.67003
1237656537513132131,337.1063,-9.62285,1237656537513132131,-20.65674,11.36666,2.242026,0.03,5.453127,13.86866
1237656536973901937,331.6302,-9.527803,1237656536973901937,-19.12961,10.7419,2.479575,0.03,1.849939,5.235005
1237652598496035045,331.7846,-9.362163,1237652598496035045,-19.51434,11.01697,4.484174,0.019,2.564387,8.256609
1237666227527417870,331.2669,-9.024117,1237666227527417870,-20.51254,11.31355,3.496192,0.0077,5.337086,17.61067
1237652601179209935,329.1948,-6.947326,1237652601179209935,-20.42933,11.18749,2.831355,0.03,3.985185,13.12486
1237666340800888945,19.63719,1.158557,1237666340800888945,-20.04016,11.02121,2.746209,0.0077,3.92009,13.46257
1237657190370181178,4.17731,-0.4454366,1237657190370181178,-20.72284,11.36115,3.144591,0.0077,4.331768,14.52015
1237652948534100092,19.60239,-8.878165,1237652948534100092,-21.11126,11.53825,2.307769,0.03,6.702261,23.23138
1237652948530167954,10.46021,-9.303184,1237652948530167954,-16.87233,9.726501,2.653092,0.0077,0.8878831,1.399281
1237652948530167954,10.46021,-9.303184,1237652948530167956,-16.87233,9.726501,2.653092,0.0077,0.8878831,1.399281
1237652901284479108,358.7784,-9.37559,1237652901284479108,-21.30312,11.62678,3.029366,0.0077,10.01911,29.51658
1237652946914443286,358.5569,-10.41902,1237652946914443286,-21.35305,11.83697,6.525169,0.03,8.022425,25.1422
1237652934036095160,324.0419,-8.221379,1237652934036095160,-20.2644,11.17837,3.144591,0.0077,2.350346,7.564315
1237651250440438017,243.044,47.90644,1237651250440438017,-20.81233,11.60924,7.190137,0.0077,4.153345,14.60023
1237651539799245004,242.6574,53.40585,1237651539799245004,-20.38622,11.197,3.496192,0.03,3.87937,13.36977
1237651539799048502,242.3837,53.76607,1237651539799048502,-19.08615,11.23911,5.632844,0.03,3.168597,9.862558
1237651538725371973,241.3224,53.12056,1237651538725371973,-20.91461,11.3841,7.799702,0.0077,6.759538,22.64357
1237651539262439682,242.4039,53.04121,1237651539262439682,-21.03309,11.74342,7.627892,0.0077,6.961029,21.10844
1237651252048298015,237.894,53.39502,1237651252048298015,-20.05977,11.27953,8.227038,0.0077,3.979372,15.41028
1237654880207634443,231.9876,3.374156,1237654880207634443,-21.37925,11.89585,9.014509,0.0077,7.656215,21.38033
1237654879669452830,228.9744,3.050323,1237654879669452830,-19.71486,11.09815,4.474623,0.0077,5.583252,14.38769
1237654879668338812,226.5487,3.142568,1237654879668338812,-20.6268,11.32396,3.029366,0.0077,9.224866,29.86192
1237654880202981522,221.3746,3.924047,1237654880202981522,-20.05767,11.11216,2.479575,0.03,2.517967,8.633651
1237654880737886388,216.9093,4.460338,1237654880737886388,-19.698,11.00375,3.496192,0.0077,3.086273,9.73822
1237654881272856778,212.5874,5.271099,1237654881272856778,-19.88313,11.26071,7.190137,0.0077,2.000485,5.890883
1237674460416311573,142.2758,3.585551,1237674460416311573,-19.38056,10.54051,2.242026,0.03,2.079464,6.160632
